Player Name,Team,Event,Price
Natalie Thomas,George Washington (Atlantic 10 Conference),VT,3000.0
Naya Howard,Georgia (SEC),VT,3000.0
Niya Randolph,Southern Utah (WAC),VT,3000.0
Nyla Aquino,Georgia (SEC),VT,3000.0
Olivia Kelly,Missouri (SEC),VT,3000.0
Paige Anastasi,UCLA (Big Ten),VT,3000.0
Paityn Walker,Alabama (SEC),VT,3000.0
Railey Jackson,Missouri (SEC),VT,3000.0
Reese Baechle,Nebraska (Big Ten),VT,3000.0
Regan McBride,North Carolina (ACC),VT,3000.0
Sidney Washington,Ohio State (Big Ten),VT,3000.0
Sophia Groth,Auburn (SEC),VT,3000.0
Sophia Nguyen,Minnesota (Big Ten),VT,3000.0
Sydney Schumaker,Auburn (SEC),VT,3000.0
Syniya Thomas,NC State (ACC),VT,3000.0
Teryn Crump,Minnesota (Big Ten),VT,3000.0
Tirzah Wise,Arizona (Big 12),VT,3000.0
Victoria Nguyen,Florida (SEC),VT,3000.0
Abigail Bednar,Kentucky (SEC),VT,2000.0
Abigayle Martin,Arizona (Big 12),VT,2000.0
Addilyn Glazier,BYU (Big 12),VT,2000.0
Addison Fatta,Oklahoma (SEC),VT,2000.0
Addison Hewitt,Maryland (Big Ten),VT,2000.0
Adeline Kenlin,Iowa (Big Ten),VT,2000.0
Alana Walker,Stanford (ACC),VT,2000.0
Amani Herring,Penn State (Big Ten),VT,2000.0
Amelia Rock,Arizona (Big 12),VT,2000.0
Amelie Morgan,Utah (Big 12),VT,2000.0
Amy Doyle,Michigan State (Big Ten),VT,2000.0
Anna Hill,Auburn (SEC),VT,2000.0
Aubrey Krohnfeldt,Arizona (Big 12),VT,2000.0
Audrey Sanger,Michigan (Big Ten),VT,2000.0
Ava Jordan,Michigan (Big Ten),VT,2000.0
Ava Myers,NC State (ACC),VT,2000.0
Ayla Acevedo,Missouri (SEC),VT,2000.0
Bella Misiura,Penn State (Big Ten),VT,2000.0
Brenna Neault,Stanford (ACC),VT,2000.0
Brianna Taurek,California (ACC),VT,2000.0
Brinlee Christensen,Southern Utah (WAC),VT,2000.0
Brooke Dennis,Alabama (SEC),VT,2000.0
CJ Keuneke,California (ACC),VT,2000.0
Cady Duplissis,Michigan State (Big Ten),VT,2000.0
Caroline Volk,NC State (ACC),VT,2000.0
Chesney Bennett,Kentucky (SEC),VT,2000.0
Chloe Negrete,NC State (ACC),VT,2000.0
Corinne Bunagan,Alabama (SEC),VT,2000.0
Daisy Stephenson,BYU (Big 12),VT,2000.0
Danielle Latronica,Penn State (Big Ten),VT,2000.0
Deborah Silva,BYU (Big 12),VT,2000.0
Eden Webster,West Virginia (Big 12),VT,2000.0
Elizabeth Blessey,Oklahoma (SEC),VT,2000.0
Elizabeth Larusso,Arizona (Big 12),VT,2000.0
Elizabeth Leary,Penn State (Big Ten),VT,2000.0
Ella Cesario,California (ACC),VT,2000.0
Ellie Monahan,Penn State (Big Ten),VT,2000.0
Emily Innes,Washington (Big Ten),VT,2000.0
Emily Lopez,Boise State (Mountain West Conference),VT,2000.0
Emily Mueller,Arizona (Big 12),VT,2000.0
Emily Pires,Washington (Big Ten),VT,2000.0
Emma Strom,Arizona (Big 12),VT,2000.0
Emmalise Nock,Illinois (Big Ten),VT,2000.0
Faye Rodio,Alabama (SEC),VT,2000.0
Frankie Price,Arkansas (SEC),VT,2000.0
Haylee Hardin,Iowa State (Big 12),VT,2000.0
Jayda Lewter,Minnesota (Big Ten),VT,2000.0
Jaydah Battle,Georgia (SEC),VT,2000.0
Jenna Rusk,NC State (ACC),VT,2000.0
Julia Knower,North Carolina (ACC),VT,2000.0
Julianne Huff,Auburn (SEC),VT,2000.0
Kalea McElligott,Penn State (Big Ten),VT,2000.0
Karleigh DiCello,West Virginia (Big 12),VT,2000.0
Kasey Burke,George Washington (Atlantic 10 Conference),VT,2000.0
Kate Bryant,Clemson (ACC),VT,2000.0
Kimberly Smith,Arizona State (Big 12),VT,2000.0
Lauren Pearl,Minnesota (Big Ten),VT,2000.0
Lucie Kirchner,Michigan (Big Ten),VT,2000.0
Lundyn VanderToolen,Utah State (Mountain West Conference),VT,2000.0
Mackenzie Kelly,Southern Utah (WAC),VT,2000.0
Madison Minner,Clemson (ACC),VT,2000.0
Madison Ulrich,Denver (Big 12),VT,2000.0
Maggie Holman,Clemson (ACC),VT,2000.0
Maggie Slife,Air Force (Mountain West),VT,2000.0
Mallory Gregory,Ohio State (Big Ten),VT,2000.0
Mary McDonough,Washington (Big Ten),VT,2000.0
McCauley Harrington,Minnesota (Big Ten),VT,2000.0
Megan Steensland,Minnesota (Big Ten),VT,2000.0
Meika Lee,Pittsburgh (ACC),VT,2000.0
Mia Hampton,Southern Utah (WAC),VT,2000.0
Molly Peterson,Nebraska (Big Ten),VT,2000.0
Natalie Briones,Oregon State (Pac-12),VT,2000.0
Noelle Adams,Iowa State (Big 12),VT,2000.0
Paige Thaxton,Michigan (Big Ten),VT,2000.0
Peyton Davis,Michigan (Big Ten),VT,2000.0
Rayna Engelmayer,Maryland (Big Ten),VT,2000.0
Reagan Sams,Ohio State (Big Ten),VT,2000.0
Rhea Leblanc,Maryland (Big Ten),VT,2000.0
Ryan Fuller,Alabama (SEC),VT,2000.0
Ryan Noonan,Kentucky (SEC),VT,2000.0
Rylie Mundell,Denver (Big 12),VT,2000.0
Sage Melkonian,California (ACC),VT,2000.0
Sage Paladino,Southern Utah (WAC),VT,2000.0
Sage Thompson,Oregon State (Pac-12),VT,2000.0
Sarah Saville,Maryland (Big Ten),VT,2000.0
Sarah Zois,Auburn (SEC),VT,2000.0
Sasha Fujisaka,UCLA (Big Ten),VT,2000.0
Sophia Esposito,Oregon State (Pac-12),VT,2000.0
Sophia Kaloudis,Oregon State (Pac-12),VT,2000.0
Sophie Derr,Arizona (Big 12),VT,2000.0
Sydney Wilke,Illinois (Big Ten),VT,2000.0
Tara Walsh,Clemson (ACC),VT,2000.0
Taylor Gull,Southern Utah (WAC),VT,2000.0
Taylor Rech,Maryland (Big Ten),VT,2000.0
Trista Goodman,Southern Utah (WAC),VT,2000.0
Victoria Cluck,Stanford (ACC),VT,2000.0
Zoe Middleton,Ball State (MAC),VT,2000.0
Abbey Scanlon,California (ACC),VT,1000.0
Abbie Thompson,Denver (Big 12),VT,1000.0
Aberdeen O'Driscoll,Georgia (SEC),VT,1000.0
Addison Lawrence,Missouri (SEC),VT,1000.0
Addisyn Hurley Snow,Oklahoma (SEC),VT,1000.0
Alex Routsis,Southern Utah (WAC),VT,1000.0
Alexa Chuy,George Washington (Atlantic 10 Conference),VT,1000.0
Alexa Rothenbuescher,Maryland (Big Ten),VT,1000.0
Alexis Czarrunchick,Georgia (SEC),VT,1000.0
Alexis Jeffrey,LSU (SEC),VT,1000.0
Allison Kaempfer,Penn State (Big Ten),VT,1000.0
Alyona Shchennikova,LSU (SEC),VT,1000.0
Alyssa Arana,Florida (SEC),VT,1000.0
Alyssa Fernandez,Southern Utah (WAC),VT,1000.0
Alyssa Guns,Kent State (MAC),VT,1000.0
Alyssa Kramer,Penn State (Big Ten),VT,1000.0
Alyssa Orgen,Kentucky (SEC),VT,1000.0
Amelia Rieder,Southern Utah (WAC),VT,1000.0
Amy Fukami,Michigan (Big Ten),VT,1000.0
Amy Wier,Missouri (SEC),VT,1000.0
Ana Padurariu,Utah (Big 12),VT,1000.0
Anahit Assadourian,Minnesota (Big Ten),VT,1000.0
Anna Leigh,West Virginia (Big 12),VT,1000.0
Annalise Newman-Achee,California (ACC),VT,1000.0
Annie Beard,LSU (SEC),VT,1000.0
Anya Turner,Georgia (SEC),VT,1000.0
Ashley Carter,Stanford (ACC),VT,1000.0
Ashley Cowan,LSU (SEC),VT,1000.0
Ashley Gallen,Denver (Big 12),VT,1000.0
Ashley Maul,Penn State (Big Ten),VT,1000.0
Ashley Szymanski,Ball State (MAC),VT,1000.0
Ashlyn Doyle,Illinois (Big Ten),VT,1000.0
Ashton Meuret,Ohio State (Big Ten),VT,1000.0
Aspen Lenczner,Oklahoma (SEC),VT,1000.0
Asta Farrell,Michigan State (Big Ten),VT,1000.0
Aurélie Tran,Iowa (Big Ten),VT,1000.0
Ava Mabanta,Denver (Big 12),VT,1000.0
Ava Sorrento,Stanford (ACC),VT,1000.0
Bella Ferraccio,Maryland (Big Ten),VT,1000.0
Bella O'Bryant,NC State (ACC),VT,1000.0
Bridget Kemp,Boise State (Mountain West Conference),VT,1000.0
Brie Clark,Clemson (ACC),VT,1000.0
Brinley Kitchen,Southern Utah (WAC),VT,1000.0
Bronwyn Hoffman,UCLA (Big Ten),VT,1000.0
Brooke Gleichowski,Georgia (SEC),VT,1000.0
Brooklyn Rowray,Minnesota (Big Ten),VT,1000.0
Bryce Wilson,LSU (SEC),VT,1000.0
Bryn Bartman,Auburn (SEC),VT,1000.0
Brynlee Andersen,BYU (Big 12),VT,1000.0
Cadence Goldberg,Kentucky (SEC),VT,1000.0
Cadence Gormley,Kentucky (SEC),VT,1000.0
Caitlin McWilliams,Washington (Big Ten),VT,1000.0
Caitlin Smith,Oklahoma (SEC),VT,1000.0
Cally Swaney,Arkansas (SEC),VT,1000.0
Cameron Machado,Alabama (SEC),VT,1000.0
Caralia Martinez,Southern Utah (WAC),VT,1000.0
Carissa Clay,UCLA (Big Ten),VT,1000.0
Carley Beeman,Oregon State (Pac-12),VT,1000.0
Carly Busch,Kentucky (SEC),VT,1000.0
Caroline Leonard,Auburn (SEC),VT,1000.0
Caroline Lichtman,Arizona State (Big 12),VT,1000.0
Cassi Barbanente,Penn State (Big Ten),VT,1000.0
Cassie Lee,Iowa (Big Ten),VT,1000.0
Cecilia Cooley,Denver (Big 12),VT,1000.0
Chandler Buntin,Arkansas (SEC),VT,1000.0
Chavala Shepard,Arizona State (Big 12),VT,1000.0
Chelsea Hallinan,Washington (Big Ten),VT,1000.0
Chiara Andrew,BYU (Big 12),VT,1000.0
Chloe Seaga,Arizona State (Big 12),VT,1000.0
Ciena Alipio,UCLA (Big Ten),VT,1000.0
Claire Stippich,North Carolina (ACC),VT,1000.0
Clara Raposo,Utah (Big 12),VT,1000.0
Clara Wren,UCLA (Big Ten),VT,1000.0
Courtney McCann,Ohio State (Big Ten),VT,1000.0
Courtney Woods,Missouri (SEC),VT,1000.0
Creslyn Brose,Kentucky (SEC),VT,1000.0
Danae Fletcher,Oklahoma (SEC),VT,1000.0
Danielle Sievers,Oklahoma (SEC),VT,1000.0
Danika Nielsen,Clemson (ACC),VT,1000.0
Deiah Moody,Washington (Big Ten),VT,1000.0
Delaney Adrian,Rutgers (Big Ten),VT,1000.0
Delaney Reeves,Boise State (Mountain West Conference),VT,1000.0
Delanie Harkness,Michigan State (Big Ten),VT,1000.0
Delaynee Rodriguez,Kentucky (SEC),VT,1000.0
Eden King,Illinois (Big Ten),VT,1000.0
Elena Deets,Arizona (Big 12),VT,1000.0
Elina Vihrova,Penn State (Big Ten),VT,1000.0
Elizabeth Gantner,Utah (Big 12),VT,1000.0
Ella Tashjian,Yale (Ivy),VT,1000.0
Elle Beaufait,Michigan State (Big Ten),VT,1000.0
Ellie Lazzari,Florida (SEC),VT,1000.0
Ellie Thomson,Southern Utah (WAC),VT,1000.0
Ellie Weaver,Oregon State (Pac-12),VT,1000.0
Elliot Bringhurst,Southern Utah (WAC),VT,1000.0
Emerson Smith,West Virginia (Big 12),VT,1000.0
Emily Countryman,Southern Utah (WAC),VT,1000.0
Emily Koch,Minnesota (Big Ten),VT,1000.0
Emily Plone,Southern Utah (WAC),VT,1000.0
Emma Grace Boyd,Auburn (SEC),VT,1000.0
Emma Malabuyo,UCLA (Big Ten),VT,1000.0
Emma Mason,Georgia (SEC),VT,1000.0
Emma Misenheimer,Michigan State (Big Ten),VT,1000.0
Emma Nipper,Southern Utah (WAC),VT,1000.0
Emma Schrady,Washington (Big Ten),VT,1000.0
Eryn Williams,Georgia (SEC),VT,1000.0
Eve Jackson,Clemson (ACC),VT,1000.0
Farah Lipetz,Michigan (Big Ten),VT,1000.0
Francesca Caso,Oregon State (Pac-12),VT,1000.0
Frida Esparza,UCLA (Big Ten),VT,1000.0
Gabbie Gallentine,Penn State (Big Ten),VT,1000.0
Gabby Disidore,Florida (SEC),VT,1000.0
Gabby Ladanyi,Alabama (SEC),VT,1000.0
Gabby McLaughlin,Auburn (SEC),VT,1000.0
Genevieve Lebster,Michigan State (Big Ten),VT,1000.0
Giana Kalefe,Michigan State (Big Ten),VT,1000.0
Gianna Lenczner,Arizona (Big 12),VT,1000.0
Gianna Ruffing,Maryland (Big Ten),VT,1000.0
Grace Lacrosse,Clemson (ACC),VT,1000.0
Grace Walker,Ohio State (Big Ten),VT,1000.0
Gracie Long,BYU (Big 12),VT,1000.0
Hailey Davis,Kentucky (SEC),VT,1000.0
Hailey Merchant,Maryland (Big Ten),VT,1000.0
Haleigh Gibble,Penn State (Big Ten),VT,1000.0
Halle Braaflat,Georgia (SEC),VT,1000.0
Hallie Copperwheat,Pitt (ACC),VT,1000.0
Hannah Clark,Clemson (ACC),VT,1000.0
Hannah Hagle,Auburn (SEC),VT,1000.0
Haylen Zabrowski,Michigan (Big Ten),VT,1000.0
Heather Parker,Georgia (SEC),VT,1000.0
Helen Hu,Missouri (SEC),VT,1000.0
Holly Snyder,Georgia (SEC),VT,1000.0
Ilka Juk,Iowa (Big Ten),VT,1000.0
Isabella Kowan,Arizona State (Big 12),VT,1000.0
Isabella Minervini,Towson (CAA),VT,1000.0
Isabella Neff,Southern Utah (WAC),VT,1000.0
Isabella Rivelli,Kentucky (SEC),VT,1000.0
Isabella Trostel,Michigan State (Big Ten),VT,1000.0
Jacey Vore,Michigan (Big Ten),VT,1000.0
Jaime Pratt,Pittsburgh (ACC),VT,1000.0
Jenna Blair,Arizona State (Big 12),VT,1000.0
Jenna Olshefski,Minnesota (Big Ten),VT,1000.0
