Date,Opponent,VT,UB,BB,FX,AA,HomeAway,Team,GymnastID,Name
"Sun, Jan-11-2026","San Jose State, UC Davis",9.8250,9.7500,,9.8250,,H,Arizona State,32321,Halle Gregoire
"Fri, Jan-16-2026",Kentucky,9.8000,9.7500,,9.8500,,A,Arizona State,32321,Halle Gregoire
"Sun, Jan-11-2026","San Jose State, UC Davis",,9.8250,9.8500,,,H,Arizona State,32683,Reese Grolla
"Fri, Jan-16-2026",Kentucky,,9.6500,9.6750,,,A,Arizona State,32683,Reese Grolla
"Sun, Jan-11-2026","San Jose State, UC Davis",9.7750,,9.7000,9.7750,,H,Arizona State,33430,Delanie Kelly
"Fri, Jan-16-2026",Kentucky,9.7500,,9.6750,9.8500,,A,Arizona State,33430,Delanie Kelly
"Sun, Jan-11-2026","San Jose State, UC Davis",,9.1000,9.8250,9.2000,,H,Arizona State,31813,Kayla Lee
"Fri, Jan-16-2026",Kentucky,,9.0000,9.8500,9.7750,,A,Arizona State,31813,Kayla Lee
"Sun, Jan-11-2026","San Jose State, UC Davis",,9.0750,,,,H,Arizona State,33432,Adele Ossi
"Sun, Jan-11-2026","San Jose State, UC Davis",,,,9.7250,,H,Arizona State,32942,Tiara Platkin
"Fri, Jan-16-2026",Kentucky,,,,9.8000,,A,Arizona State,32942,Tiara Platkin
"Sun, Jan-11-2026","San Jose State, UC Davis",9.8000,,,,,H,Arizona State,32322,Lilia Purler
"Fri, Jan-16-2026",Kentucky,9.8000,,,,,A,Arizona State,32322,Lilia Purler
"Sun, Jan-11-2026","San Jose State, UC Davis",9.7750,9.7750,9.6750,9.8750,39.1000,H,Arizona State,31815,Kimberly Smith
"Fri, Jan-16-2026",Kentucky,9.8250,9.8750,9.7750,9.8250,39.3000,A,Arizona State,31815,Kimberly Smith
"Sun, Jan-18-2026",Auburn,,9.8000,,,,H,Arkansas,33437,Avalon Campbell
"Sat, Jan-10-2026",Minnesota,9.9000,9.8250,9.8250,9.8000,39.3500,A,Arkansas,33438,Allison Cucci
"Sun, Jan-18-2026",Auburn,9.8500,9.9000,9.8500,,,H,Arkansas,33438,Allison Cucci
"Sat, Jan-10-2026",Minnesota,,,9.8000,,,A,Arkansas,33156,Madison Gustitus
"Sun, Jan-18-2026",Auburn,,,9.8500,,,H,Arkansas,33156,Madison Gustitus
"Sat, Jan-10-2026",Minnesota,9.7250,9.7750,9.7500,9.8250,39.0750,A,Arkansas,32327,Hailey Klein
"Sun, Jan-18-2026",Auburn,9.7250,9.8250,9.8250,9.8500,39.2250,H,Arkansas,32327,Hailey Klein
"Sat, Jan-10-2026",Minnesota,9.8000,,,,,A,Arkansas,32944,Ja'Leigh Lang
"Sun, Jan-18-2026",Auburn,9.7750,,,,,H,Arkansas,32944,Ja'Leigh Lang
"Sat, Jan-10-2026",Minnesota,9.8750,9.8500,9.4500,9.8750,39.0500,A,Arkansas,31886,Morgan Price
"Sun, Jan-18-2026",Auburn,9.9000,9.8500,9.9250,9.8000,39.4750,H,Arkansas,31886,Morgan Price
"Sun, Jan-18-2026",Auburn,,,,9.8750,,H,Arkansas,31259,Frankie Price
"Sat, Jan-10-2026",Minnesota,,9.7750,9.9500,9.8250,,A,Arkansas,32945,Joscelyn Roberson
"Sun, Jan-18-2026",Auburn,,9.7750,9.9500,9.8500,,H,Arkansas,32945,Joscelyn Roberson
"Sat, Jan-10-2026",Minnesota,9.7750,9.8750,,9.8500,,A,Arkansas,31261,Leah Smith
