GymnastID,HomeAway,Week,Date,MeetID,Event,Score
33510,H,2,2026-01-09,2026-01-09_Florida,AA,
33510,H,3,2026-01-16,2026-01-16_Florida,AA,
33512,H,3,2026-01-16,2026-01-16_Florida,AA,
32416,H,2,2026-01-09,2026-01-09_Florida,AA,
32416,H,3,2026-01-16,2026-01-16_Florida,AA,
31862,H,2,2026-01-09,2026-01-09_Florida,AA,
31862,H,3,2026-01-16,2026-01-16_Florida,AA,
32075,H,2,2026-01-09,2026-01-09_Florida,AA,
32075,H,3,2026-01-16,2026-01-16_Florida,AA,
31327,H,2,2026-01-09,2026-01-09_Florida,AA,
31327,H,3,2026-01-16,2026-01-16_Florida,AA,
32417,H,2,2026-01-09,2026-01-09_Florida,AA,39.275
32417,H,3,2026-01-16,2026-01-16_Florida,AA,
33514,A,2,2026-01-09,2026-01-09_Air Force,AA,
32364,H,3,2026-01-18,2026-01-18_George Washington,AA,
31895,A,2,2026-01-09,2026-01-09_Air Force,AA,
31895,H,3,2026-01-18,2026-01-18_George Washington,AA,
32998,A,2,2026-01-09,2026-01-09_Air Force,AA,39.0
32998,H,3,2026-01-18,2026-01-18_George Washington,AA,37.775
33515,A,2,2026-01-09,2026-01-09_Air Force,AA,
33515,H,3,2026-01-18,2026-01-18_George Washington,AA,
31898,A,2,2026-01-09,2026-01-09_Air Force,AA,
31898,H,3,2026-01-18,2026-01-18_George Washington,AA,
32363,A,2,2026-01-09,2026-01-09_Air Force,AA,
32363,H,3,2026-01-18,2026-01-18_George Washington,AA,
32999,A,2,2026-01-09,2026-01-09_Air Force,AA,
32999,H,3,2026-01-18,2026-01-18_George Washington,AA,
31899,A,2,2026-01-09,2026-01-09_Air Force,AA,39.025
31899,H,3,2026-01-18,2026-01-18_George Washington,AA,38.85
33517,A,2,2026-01-09,2026-01-09_Air Force,AA,38.3
33517,H,3,2026-01-18,2026-01-18_George Washington,AA,36.6
33518,A,2,2026-01-09,2026-01-09_Air Force,AA,
33518,H,3,2026-01-18,2026-01-18_George Washington,AA,
33002,A,2,2026-01-10,2026-01-10_Iowa,AA,
33002,H,3,2026-01-16,2026-01-16_Georgia,AA,
33004,A,2,2026-01-10,2026-01-10_Iowa,AA,
32366,A,2,2026-01-10,2026-01-10_Iowa,AA,
32366,H,3,2026-01-16,2026-01-16_Georgia,AA,
33519,A,2,2026-01-10,2026-01-10_Iowa,AA,
33519,H,3,2026-01-16,2026-01-16_Georgia,AA,
33520,A,2,2026-01-10,2026-01-10_Iowa,AA,
33521,A,2,2026-01-10,2026-01-10_Iowa,AA,
33521,H,3,2026-01-16,2026-01-16_Georgia,AA,
31906,A,2,2026-01-10,2026-01-10_Iowa,AA,
31906,H,3,2026-01-16,2026-01-16_Georgia,AA,
32370,A,2,2026-01-10,2026-01-10_Iowa,AA,
32370,H,3,2026-01-16,2026-01-16_Georgia,AA,
32371,A,2,2026-01-10,2026-01-10_Iowa,AA,
32371,H,3,2026-01-16,2026-01-16_Georgia,AA,
