Player Name,Year,Team,Event,Price
Anabelle Dewey,Freshman,Utah State,AA,1500
Analiah Solorio,Sophomore,Eastern Michigan,AA,1500
Ananya Patanakul,Freshman,Pennsylvania,AA,1500
Anelise Johnson,Freshman,Michigan,AA,1500
Angelina Hogan,Senior,LIU,AA,1500
Anika Most,Sophomore,Kent State,AA,1500
Anna Bacott,Sophomore,Air Force,AA,1500
Anna Beaudry,Junior,Hamline,AA,1500
Anna Ferguson,Senior,Boise State,AA,1500
Anna Flynn Cashion,Sophomore,Kentucky,AA,1500
Anna Johnson,Junior,Hamline,AA,1500
Anna Kristianson,Sophomore,Air Force,AA,1500
Anna Lee Dobson,Sophomore,Cortland State,AA,1500
Anna Ockerbloom,Freshman,Cortland State,AA,1500
Anna Pearl Stanley,Freshman,North Carolina,AA,1500
Anna Roberts,Senior,Stanford,AA,1500
AnnaLisa Page,Senior,LIU,AA,1500
Annalise Newman-Achee,Junior,California,AA,4000
Anne MacKenzie,Sophomore,Cornell,AA,1500
Annelise Smaby,Senior,Hamline,AA,1500
Annie Challman,Junior,New Hampshire,AA,1500
Anya Kraenzel,Junior,Ithaca,AA,1500
Anya Pilgrim,Junior,Florida,AA,4000
Anya Turner,Junior,Georgia,AA,1500
Aria Roberts,Sophomore,Cortland State,AA,1500
Ariana DeSouza,Senior,Alaska,AA,1500
Arianna Ostrum,Freshman,Minnesota,AA,5000
Ariel Collum,Freshman,Southern Utah,AA,1500
Arielle Ward,Senior,Illinois,AA,1500
Ashlee Sullivan,Freshman,UCLA,AA,1500
Ashley Carter,Senior,Stanford,AA,1500
Ashley Cowan,Senior,LSU,AA,1500
Ashley Gallen,Senior,Denver,AA,1500
Ashley Glynn,Senior,Utah,AA,1500
Ashley Knight,Junior,NC State,AA,1500
Ashley Locker,Sophomore,LIU,AA,1500
Ashley Maul,Junior,Penn State,AA,1500
Ashley Morgan,Junior,Kent State,AA,1500
Ashley Savell,Sophomore,Hamline,AA,1500
Ashley Szymanski,Junior,Ball State,AA,1500
Ashlie Leage,Sophomore,Greenville,AA,1500
Ashlyn Pearson,Freshman,Kent State,AA,1500
Ashlyn Richards,Freshman,Central Michigan,AA,1500
Ashlynd Werner,Freshman,Kent State,AA,1500
Ashton Meuret,Junior,Ohio State,AA,1500
Aspen Lenczner,Junior,Oklahoma,AA,1500
Aspen Tucker,Freshman,George Washington,AA,1500
Athena Jones,Junior,Sacramento State,AA,1500
Aubree Guinee,Sophomore,Iowa State,AA,1500
Aubrey Gilliland,Freshman,Nebraska,AA,1500
Aubrey Krohnfeldt,Sophomore,Arizona,AA,1500
Auden Pederson,Freshman,West Virginia,AA,1500
Audrey Brenner,Freshman,Northern Illinois,AA,1500
Audrey Guess,Senior,Alaska,AA,1500
Audrey Hiatt,Sophomore,Illinois State,AA,1500
Audrey Sanger,Sophomore,Michigan,AA,1500
Audrey Thomas,Freshman,BYU,AA,1500
Aurelie Tran,Sophomore,Iowa,AA,5000
Autumn Adkins,Junior,Cortland State,AA,1500
Autumn Mickens,Freshman,Texas Woman's,AA,1500
Autumn Rardin,Freshman,NC State,AA,1500
