GymnastID,HomeAway,Week,Date,MeetID,Event,Score,homeaway_factor,score_adj
32829,A,2,2026-01-09,2026-01-09_Air Force,UB,9.8,0.0266603053435114,9.8
32829,H,3,2026-01-18,2026-01-18_New Hampshire,UB,9.775,0.0266603053435114,9.748339694656488
33083,A,2,2026-01-09,2026-01-09_Air Force,UB,9.675,0.0266603053435114,9.675
33083,H,3,2026-01-18,2026-01-18_New Hampshire,UB,9.725,0.0266603053435114,9.698339694656488
32832,A,2,2026-01-09,2026-01-09_Air Force,UB,9.7,0.0266603053435114,9.7
32832,H,3,2026-01-18,2026-01-18_New Hampshire,UB,9.65,0.0266603053435114,9.623339694656488
31975,A,2,2026-01-09,2026-01-09_Air Force,UB,9.75,0.0266603053435114,9.75
31975,H,3,2026-01-18,2026-01-18_New Hampshire,UB,9.775,0.0266603053435114,9.748339694656488
31977,A,2,2026-01-09,2026-01-09_Air Force,UB,9.8,0.0266603053435114,9.8
31977,H,3,2026-01-18,2026-01-18_New Hampshire,UB,9.8,0.0266603053435114,9.773339694656489
33084,A,2,2026-01-09,2026-01-09_Air Force,UB,9.725,0.0266603053435114,9.725
33084,H,3,2026-01-18,2026-01-18_New Hampshire,UB,9.775,0.0266603053435114,9.748339694656488
31979,A,2,2026-01-09,2026-01-09_Air Force,UB,9.875,0.0266603053435114,9.875
31979,H,3,2026-01-18,2026-01-18_North Carolina,UB,9.825,0.0266603053435114,9.798339694656487
31980,A,2,2026-01-09,2026-01-09_Air Force,UB,9.775,0.0266603053435114,9.775
31980,H,3,2026-01-18,2026-01-18_North Carolina,UB,9.75,0.0266603053435114,9.723339694656488
32487,A,2,2026-01-09,2026-01-09_Air Force,UB,9.75,0.0266603053435114,9.75
32487,H,3,2026-01-18,2026-01-18_North Carolina,UB,9.7,0.0266603053435114,9.673339694656487
31981,A,2,2026-01-09,2026-01-09_Air Force,UB,9.8,0.0266603053435114,9.8
31981,H,3,2026-01-18,2026-01-18_North Carolina,UB,9.05,0.0266603053435114,9.023339694656489
33619,A,2,2026-01-09,2026-01-09_Air Force,UB,9.825,0.0266603053435114,9.825
33619,H,3,2026-01-18,2026-01-18_North Carolina,UB,9.8,0.0266603053435114,9.773339694656489
32296,A,2,2026-01-09,2026-01-09_Air Force,UB,9.775,0.0266603053435114,9.775
32296,H,3,2026-01-18,2026-01-18_North Carolina,UB,9.7,0.0266603053435114,9.673339694656487
32627,A,2,2026-01-09,2026-01-09_Air Force,UB,9.775,0.0266603053435114,9.775
32627,H,3,2026-01-17,2026-01-17_North Carolina State,UB,9.875,0.0266603053435114,9.848339694656488
32629,A,2,2026-01-09,2026-01-09_Air Force,UB,9.8,0.0266603053435114,9.8
32629,H,3,2026-01-17,2026-01-17_North Carolina State,UB,9.85,0.0266603053435114,9.823339694656488
33091,A,2,2026-01-09,2026-01-09_Air Force,UB,9.725,0.0266603053435114,9.725
33091,H,3,2026-01-17,2026-01-17_North Carolina State,UB,9.725,0.0266603053435114,9.698339694656488
31987,A,2,2026-01-09,2026-01-09_Air Force,UB,9.875,0.0266603053435114,9.875
31987,H,3,2026-01-17,2026-01-17_North Carolina State,UB,9.775,0.0266603053435114,9.748339694656488
33094,A,2,2026-01-09,2026-01-09_Air Force,UB,9.775,0.0266603053435114,9.775
33094,H,3,2026-01-17,2026-01-17_North Carolina State,UB,9.725,0.0266603053435114,9.698339694656488
33096,A,2,2026-01-09,2026-01-09_Air Force,UB,9.0,0.0266603053435114,9.0
33096,H,3,2026-01-17,2026-01-17_North Carolina State,UB,9.625,0.0266603053435114,9.598339694656488
33626,A,2,2026-01-11,2026-01-11_Arizona State,UB,9.475,0.0266603053435114,9.475
33626,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.65,0.0266603053435114,9.65
33627,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.575,0.0266603053435114,9.575
33100,A,2,2026-01-11,2026-01-11_Arizona State,UB,9.0,0.0266603053435114,9.0
33100,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,8.9,0.0266603053435114,8.9
32887,A,2,2026-01-11,2026-01-11_Arizona State,UB,9.75,0.0266603053435114,9.75
33629,A,2,2026-01-11,2026-01-11_Arizona State,UB,8.25,0.0266603053435114,8.25
33629,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.75,0.0266603053435114,9.75
33630,A,2,2026-01-11,2026-01-11_Arizona State,UB,8.875,0.0266603053435114,8.875
33630,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.55,0.0266603053435114,9.55
33101,A,2,2026-01-11,2026-01-11_Arizona State,UB,9.1,0.0266603053435114,9.1
33101,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.625,0.0266603053435114,9.625
32679,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.725,0.0266603053435114,9.725
31424,H,2,2026-01-10,2026-01-10_Ohio State,UB,9.775,0.0266603053435114,9.748339694656488
31424,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.675,0.0266603053435114,9.675
32261,H,2,2026-01-10,2026-01-10_Ohio State,UB,9.875,0.0266603053435114,9.848339694656488
33805,H,2,2026-01-10,2026-01-10_Ohio State,UB,9.6,0.0266603053435114,9.573339694656488
33805,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.025,0.0266603053435114,9.025
32677,H,2,2026-01-10,2026-01-10_Ohio State,UB,9.75,0.0266603053435114,9.723339694656488
32677,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.75,0.0266603053435114,9.75
33808,H,2,2026-01-10,2026-01-10_Ohio State,UB,9.8,0.0266603053435114,9.773339694656489
33808,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.725,0.0266603053435114,9.725
31427,H,2,2026-01-10,2026-01-10_Ohio State,UB,9.775,0.0266603053435114,9.748339694656488
31427,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.825,0.0266603053435114,9.825
33633,A,2,2026-01-10,2026-01-10_Iowa,UB,9.9,0.0266603053435114,9.9
33633,A,3,2026-01-16,2026-01-16_BYU,UB,9.825,0.0266603053435114,9.825
33111,A,2,2026-01-10,2026-01-10_Iowa,UB,9.925,0.0266603053435114,9.925
33111,A,3,2026-01-16,2026-01-16_BYU,UB,9.1,0.0266603053435114,9.1
33634,A,2,2026-01-10,2026-01-10_Iowa,UB,9.925,0.0266603053435114,9.925
33634,A,3,2026-01-16,2026-01-16_BYU,UB,9.85,0.0266603053435114,9.85
33113,A,2,2026-01-10,2026-01-10_Iowa,UB,9.825,0.0266603053435114,9.825
33113,A,3,2026-01-16,2026-01-16_BYU,UB,9.825,0.0266603053435114,9.825
32713,A,2,2026-01-10,2026-01-10_Iowa,UB,9.9,0.0266603053435114,9.9
32713,A,3,2026-01-16,2026-01-16_BYU,UB,9.775,0.0266603053435114,9.775
31989,A,2,2026-01-10,2026-01-10_Iowa,UB,9.825,0.0266603053435114,9.825
31989,A,3,2026-01-16,2026-01-16_BYU,UB,9.825,0.0266603053435114,9.825
32127,A,1,2026-01-03,2026-01-03_Washington,UB,9.7,0.0266603053435114,9.7
32127,A,2,2026-01-09,2026-01-09_Air Force,UB,9.75,0.0266603053435114,9.75
32127,H,3,2026-01-16,2026-01-16_Oregon State,UB,9.2,0.0266603053435114,9.173339694656487
33863,A,1,2026-01-03,2026-01-03_Washington,UB,8.4,0.0266603053435114,8.4
33863,A,2,2026-01-09,2026-01-09_Air Force,UB,9.675,0.0266603053435114,9.675
33863,H,3,2026-01-16,2026-01-16_Oregon State,UB,9.725,0.0266603053435114,9.698339694656488
32501,A,1,2026-01-03,2026-01-03_Washington,UB,9.925,0.0266603053435114,9.925
32501,A,2,2026-01-09,2026-01-09_Air Force,UB,9.175,0.0266603053435114,9.175
32500,H,3,2026-01-16,2026-01-16_Oregon State,UB,9.9,0.0266603053435114,9.873339694656488
33117,H,3,2026-01-16,2026-01-16_Oregon State,UB,9.675,0.0266603053435114,9.648339694656489
32129,A,1,2026-01-03,2026-01-03_Washington,UB,9.75,0.0266603053435114,9.75
32129,A,2,2026-01-09,2026-01-09_Air Force,UB,9.675,0.0266603053435114,9.675
32129,H,3,2026-01-16,2026-01-16_Oregon State,UB,9.8,0.0266603053435114,9.773339694656489
33865,A,1,2026-01-03,2026-01-03_Washington,UB,9.825,0.0266603053435114,9.825
33865,A,2,2026-01-09,2026-01-09_Air Force,UB,9.8,0.0266603053435114,9.8
32130,A,1,2026-01-03,2026-01-03_Washington,UB,9.75,0.0266603053435114,9.75
32130,A,2,2026-01-09,2026-01-09_Air Force,UB,9.8,0.0266603053435114,9.8
32130,H,3,2026-01-16,2026-01-16_Oregon State,UB,9.95,0.0266603053435114,9.923339694656487
33638,H,2,2026-01-11,2026-01-11_Penn State,UB,9.85,0.0266603053435114,9.823339694656488
33638,A,3,2026-01-16,2026-01-16_BYU,UB,8.9,0.0266603053435114,8.9
31446,H,2,2026-01-11,2026-01-11_Penn State,UB,9.75,0.0266603053435114,9.723339694656488
31446,A,3,2026-01-16,2026-01-16_BYU,UB,9.775,0.0266603053435114,9.775
33120,H,2,2026-01-11,2026-01-11_Penn State,UB,9.825,0.0266603053435114,9.798339694656487
33121,H,2,2026-01-11,2026-01-11_Penn State,UB,9.825,0.0266603053435114,9.798339694656487
33121,A,3,2026-01-16,2026-01-16_BYU,UB,9.875,0.0266603053435114,9.875
33122,H,2,2026-01-11,2026-01-11_Penn State,UB,9.85,0.0266603053435114,9.823339694656488
33122,A,3,2026-01-16,2026-01-16_BYU,UB,9.85,0.0266603053435114,9.85
