Team,Event,homeaway_factor,homeaway_factor_shrunk,total_weight
Washington,FX,0.05565908717676067,0.0546358366227401,135.70929611680577
West Virginia,FX,0.062296297213546244,0.054840675413332554,135.68536178453394
Western Michigan,FX,0.005229103134915263,0.006247774777897362,89.69771806308808
Yale,FX,0.13903508771929807,0.1045731518036923,23.75
Air Force,UB,0.09609436497578418,0.07526108085233602,122.63445995228604
Alabama,UB,0.010026703644268171,0.010552774491705892,144.02381003470697
Alaska,UB,0.0,0.01285264091494109,74.81906560996396
Arizona,UB,0.0,0.008869468580836539,144.04630908098994
Arizona State,UB,0.0,0.0008714580168409543,132.42733521397764
Arkansas,UB,0.0,0.0035848584103317753,144.0151465045327
Auburn,UB,0.079761594223675,0.07205546294663216,139.76440932518494
BYU,UB,0.013951314207094986,0.015103424262784047,137.92778887778888
Ball State,UB,0.0284057944147717,0.027505498763040478,127.69824170774116
Boise State,UB,0.005404780317413654,0.009149590002395746,116.05812885309453
Bowling Green,UB,0.0,0.015866569607657838,89.73424242424242
Brown,UB,0.039649995296234794,0.03408849349140626,95.24550300576615
California,UB,0.03507073083390121,0.03458631580959888,150.6632468838351
Central Michigan,UB,0.012728033364887726,0.015248551579487523,87.75720414850848
Clemson,UB,0.04853394961687574,0.038764419975867936,61.21349206349206
Cornell,UB,0.0,0.007198484858932205,84.93708513708513
Cortland State,UB,0.025857061160607053,0.021138921748731557,71.9134199134199
Denver,UB,0.0,0.0010287806907180834,149.9698653198653
Eastern Michigan,UB,0.0977647038401272,0.08270894634552992,92.95531207922512
Fisk,UB,0.0,0.018895239277925763,10.956284565108096
Florida,UB,0.0,0.0028713665731540973,148.13128888990957
George Washington,UB,0.07484013245368659,0.06480225764804379,125.7493090458943
Georgia,UB,0.013686503910350692,0.014666898779695143,125.25005105538064
Greenville,UB,0.0,0.016893799684185452,39.37301587301587
Gustavus Adolphus,UB,0.09263136891768305,0.05726990165267265,72.65037348272642
Hamline,UB,0.06125271170217887,0.03315870919857803,72.52179487179488
Illinois,UB,0.0,0.005530350990700431,141.7238875652979
Illinois State,UB,0.09659505694213703,0.06920801577053788,125.38774934065094
Iowa,UB,0.03995464793254233,0.034890632113813574,131.1132661198451
Iowa State,UB,0.03150690717517705,0.0263069857879692,132.36880570409983
Kent State,UB,0.006160573005208521,0.00807413652945669,124.191322982936
Kentucky,UB,0.027680282532336935,0.02727097685534096,136.42498219038933
LIU,UB,0.11078745184860586,0.04836894975551373,94.58364948891267
LSU,UB,0.002635216092801173,0.003447233951699581,149.63053377542454
Maryland,UB,0.026275759088122727,0.025674996106379806,141.80871599431458
Michigan,UB,0.0,0.00192477478043325,134.2636456733231
Michigan State,UB,0.038724886773002,0.037810692360108936,141.31749568539502
Minnesota,UB,0.006780153090090057,0.007627670974887913,137.6795786437238
Missouri,UB,0.024371173534953626,0.024075811284258616,132.89779197813684
Nebraska,UB,0.0,0.0006814570521369544,135.60959388568085
New Hampshire,UB,0.0936904601424707,0.06905886908369917,104.71387372173749
North Carolina,UB,0.012839232141740464,0.013786525747439797,133.65559874064857
North Carolina State,UB,0.019297117639724838,0.019320389447541275,110.59031487933927
Northern Illinois,UB,0.00916039384406287,0.011964273924804418,94.6740446679577
Ohio State,UB,0.0278221511801777,0.02664464570206827,143.54110249588862
Oklahoma,UB,0.0007595901237757006,0.0009587797125939455,166.2382232946672
Oregon State,UB,0.0,0.0021453449347184385,136.18997472726466
Penn State,UB,0.0,0.004043333437649958,138.3238059062197
Pennsylvania,UB,0.017481768333422135,0.01865677709582622,85.52216485373708
Pittsburgh,UB,0.0,0.014939234499016707,25.344444444444445
Rutgers,UB,0.0,0.0067474707909178575,137.7573739126371
Sacramento State,UB,0.10642526622518256,0.08206706388673753,101.9742069042069
San Jose State,UB,0.05897042570564422,0.04805260004888384,91.79777986262708
Southern Utah,UB,0.03817595811065018,0.03695091092523234,143.0401475736866
Stanford,UB,0.020119554075865895,0.020075394058387958,126.4097460795918
Temple,UB,0.019855447396742925,0.01973604733746576,97.05695631193933
Texas Woman's,UB,0.032259325731752185,0.02820703104469901,117.99144744144745
Towson,UB,0.01545953114946764,0.016434077434600115,146.32098352678744
UC Davis,UB,0.01620743411991462,0.017750413700576402,92.19045055821371
UCLA,UB,0.056395090506796475,0.04889985456958264,139.8717134717135
Utah,UB,0.00765519274083567,0.008526630096005529,149.5439189132252
Utah State,UB,0.0,0.0026508243414580315,125.01470208535426
Washington,UB,0.021215794219646714,0.021063258604452118,134.1111091591089
West Virginia,UB,0.013364083161228769,0.014753705412984437,136.84133588583717
Western Michigan,UB,0.04985787012581143,0.043284033239645844,88.6509549274255
Yale,UB,0.15697468354430327,0.03988488414219403,23.51190476190476
Air Force,VT,0.05166306831862671,0.018274619723644626,121.45925629593826
Alabama,VT,0.0,0.0019597146973163344,142.3330889963243
Alaska,VT,0.0,0.005986457584030962,71.50536978890368
Arizona,VT,0.0,0.0007893442574041839,142.80292097227579
Arizona State,VT,0.00596000093878892,0.006235388201631643,131.23790630856533
Arkansas,VT,0.015648650340635308,0.014569337579340685,142.84708069782778
Auburn,VT,0.016396958383527248,0.013580774359685632,139.48379727056198
BYU,VT,0.0,0.0018946121632201262,138.880353970724
Ball State,VT,0.0,0.004463068864298695,127.41557450606953
Boise State,VT,0.03969434504354553,0.026105876034706075,117.20500553460046
Bowling Green,VT,0.0,0.004657713540440702,90.62070511188158
Brown,VT,0.0,0.006142686555559555,94.9010989010989
California,VT,0.02380207195476086,0.012714061714759728,150.4354063363182
Central Michigan,VT,0.0,0.0035804787063317763,87.42629327194544
Clemson,VT,0.01572060073242022,0.010017861978437275,61.57832401516612
Cornell,VT,0.003725494225257523,0.006297205894712085,86.2343342079915
Cortland State,VT,0.0,0.005644625144683576,71.50863872969136
Denver,VT,0.0010829116675340309,0.0017203775776665209,147.9222111222111
Eastern Michigan,VT,0.014627861170730772,0.00838994479366401,92.50225536582356
Fisk,VT,0.0,0.006678960190434174,10.677441077441078
Florida,VT,0.0,0.00317676364452659,148.72733491288477
George Washington,VT,0.0,0.0023843401100274424,125.17814006988804
Georgia,VT,0.0177413467922054,0.01345581019584798,123.7917193917194
Greenville,VT,0.058234616650214066,0.01262581367872726,36.17857142857143
Gustavus Adolphus,VT,0.0,0.003973431793599269,70.99329613268232
Hamline,VT,0.0,0.006087529963308689,70.79688805346701
Illinois,VT,0.03798168980987195,0.015194963267907317,138.13493836966325
Illinois State,VT,0.0,0.003331382093874656,125.5462861599115
Iowa,VT,0.001485092893036766,0.0027735438139029336,130.65792626125284
Iowa State,VT,0.05315245235435281,0.022503780419022578,131.03741553132858
Kent State,VT,0.024526692593088213,0.014593924763547483,123.78579925217372
Kentucky,VT,0.0111650236719112,0.009752957729370775,136.48968094059586
LIU,VT,0.0,0.005748773043558243,91.23633366633366
LSU,VT,0.016747582984593803,0.014501691293692453,148.31267732267733
Maryland,VT,0.01115324034918772,0.01035527716473297,141.6950126066301
Michigan,VT,0.033528868124386234,0.01860352459047111,132.60514345636295
Michigan State,VT,0.02200744553371282,0.017096845232197788,142.14065067909462
Minnesota,VT,0.0,0.004498849922087728,137.69432298695455
Missouri,VT,0.011958412379492106,0.008891106599545312,129.48701456935498
Nebraska,VT,0.011122523630205593,0.01018977578606803,132.21624424550504
New Hampshire,VT,0.01383135843136402,0.010802384907297707,105.88776324108132
North Carolina,VT,0.0,0.0024298736634753414,136.35198500493766
North Carolina State,VT,0.024093264367571268,0.01876899500979006,112.90701465652687
Northern Illinois,VT,0.0,0.003132051749921875,95.0347758288151
Ohio State,VT,0.0,0.003291018592641171,142.82195284602903
Oklahoma,VT,0.01699671556828385,0.013897429992596739,166.82883376623784
Oregon State,VT,0.0,0.0026197523381394083,136.3003862150921
Penn State,VT,0.00947605686139418,0.008709456900372364,136.0183637209899
Pennsylvania,VT,0.009756927268326604,0.008019659062496869,85.50346772638792
Pittsburgh,VT,0.040948275862069124,0.03108310421194397,25.77777777777778
Rutgers,VT,0.0,0.0032141944294763296,140.12794553117135
Sacramento State,VT,0.05970517049807085,0.03506679337753977,100.03004101161996
San Jose State,VT,0.0,0.003561826767985905,92.06757161379586
Southern Utah,VT,0.018275945962071195,0.015729595593579938,144.43931445659646
Stanford,VT,0.001251687987145763,0.002351217557979563,120.3678852544711
Temple,VT,0.03671552458251589,0.016178363126489362,96.5648386637517
Texas Woman's,VT,0.012782396870322545,0.009588792590875434,121.27152841453226
Towson,VT,0.021632322369559382,0.01687915222045017,146.6890581140841
UC Davis,VT,0.008193533871238832,0.0075692268815179655,93.20998056197949
UCLA,VT,0.03719898385640584,0.028403715723415844,139.20571095571097
Utah,VT,0.013957569616408748,0.010549714954837627,149.14720026936044
Utah State,VT,0.0,0.003552700128801625,124.03707413247353
Washington,VT,0.0,0.0018607947151112686,136.47465222116386
West Virginia,VT,0.027238806677631202,0.019629770852064278,135.62181443703182
Western Michigan,VT,0.019131816620942807,0.013949363176240202,88.94154351395731
Yale,VT,0.0,0.004656977643881431,21.178571428571427
Air Force,AA,0.21368339825474553,0.14742813337149124,492.2897670215296
Alabama,AA,0.04510881292927561,0.048249932558647915,573.1492687452309
Alaska,AA,0.0,0.04643202445794914,292.75015307681645
Arizona,AA,0.07421534894904791,0.08008392344756621,573.4850779320554
Arizona State,AA,0.05161327192544307,0.05083229271590109,524.8526467434881
Arkansas,AA,0.11689058824548386,0.11162981326753661,572.5149143273629
Auburn,AA,0.18502654332635737,0.17034881791203382,557.8293429654303
BYU,AA,0.03671948188669818,0.04552117809294424,554.9838064398351
Ball State,AA,0.09521455766871867,0.09488665289931876,511.43401966115704
Boise State,AA,0.0796024641591252,0.07298258013658522,468.23551929089433
Bowling Green,AA,0.04143257958955477,0.05605842280507777,362.6093876112994
Brown,AA,0.11568498263824725,0.10809204025826762,382.48116034210324
California,AA,0.06720399086243564,0.06048103393866884,601.6620269617426
Central Michigan,AA,0.10422124620047492,0.10858630295283117,347.0722708641859
Clemson,AA,0.11588609772035452,0.10384506378502296,242.9772392038646
Cornell,AA,0.041712336746426555,0.05572905826328155,344.7492282823367
Cortland State,AA,0.1730586199813862,0.13021991214961975,285.3200623616225
Denver,AA,0.05999585256182307,0.05192624921421278,590.9634300366822
Eastern Michigan,AA,0.24084284920398677,0.18821358928802545,369.28804830114535
Fisk,AA,0.03568486974750893,0.06720714711523156,43.823218489992286
Florida,AA,0.025657731332628598,0.037367795854273994,588.7952038679933
George Washington,AA,0.13735888189192474,0.1334069183536902,500.6342768947196
Georgia,AA,0.09025281628864604,0.08689174892593364,498.01485968433116
Greenville,AA,0.1310079922445087,0.06401403149721745,149.1741147741148
Gustavus Adolphus,AA,0.3274396941194207,0.19369264484644708,286.89343727121354
Hamline,AA,0.13670482259327557,0.10612681776445096,284.44064541409745
Illinois,AA,0.06850288806093241,0.05626445310647883,557.6015074263986
Illinois State,AA,0.09659505694213703,0.08056949490997947,499.48580273916616
Iowa,AA,0.0809145253356433,0.08010702180795536,524.8943500641504
Iowa State,AA,0.08622558194486904,0.058255670255599905,527.4887648077945
Kent State,AA,0.08470550543489884,0.07507656220709615,495.7690827990151
Kentucky,AA,0.06275100151765833,0.06265105689887016,540.3027283601391
LIU,AA,0.18562543203340195,0.11442224690929298,369.8380379819201
LSU,AA,0.06714886642163266,0.06572216341814503,591.9989340074758
Maryland,AA,0.10456574317921492,0.08994420399545568,564.4234674108749
Michigan,AA,0.08130164772169116,0.06955818537989407,533.612089212736
Michigan State,AA,0.10792162831805649,0.10163986636550382,570.316972476019
Minnesota,AA,0.006780153090090057,0.020274628625379258,549.1355804884563
Missouri,AA,0.06013312603608505,0.05864729127921619,526.6622459559095
Nebraska,AA,0.062423169288393705,0.06191268637908993,534.2676040158547
New Hampshire,AA,0.14171851867705465,0.11743188160235395,421.6321120426842
North Carolina,AA,0.012839232141740464,0.02148037665061927,539.8108972783573
North Carolina State,AA,0.12907237449774384,0.117080935566845,449.62747499219523
Northern Illinois,AA,0.00916039384406287,0.025080316500573702,379.5554663629839
Ohio State,AA,0.05312726353573298,0.05910388729569826,570.7926460331082
Oklahoma,AA,0.0345748380528537,0.03406317815254455,666.3769477472636
Oregon State,AA,0.11530576670308922,0.1031035390027198,542.1193894534108
Penn State,AA,0.033266618975558146,0.04006067242461167,545.5643654973444
Pennsylvania,AA,0.02723869560174874,0.03731795389466931,337.49676898116803
Pittsburgh,AA,0.09254674133521491,0.10022436938405593,103.01746031746032
Rutgers,AA,0.1025313177622841,0.10525467545921506,558.4088607006881
Sacramento State,AA,0.3124951491543364,0.24567421238234607,403.4166376431782
San Jose State,AA,0.07068410341000318,0.07064995069648097,364.10126944058635
Southern Utah,AA,0.17126569377715756,0.15625121440580753,575.5979341954994
Stanford,AA,0.10670521790997974,0.09535806574918983,493.6747317950551
Temple,AA,0.22258887663474494,0.13402359011286236,388.4023112659098
Texas Woman's,AA,0.12388969108853673,0.10426627300213599,482.8512639018013
Towson,AA,0.13787835412374988,0.12273872333778302,585.3386502043104
UC Davis,AA,0.11330650415697482,0.10687223309623374,366.91404561442585
UCLA,AA,0.15344353266718455,0.1361140690148995,558.5271155855567
Utah,AA,0.06859287588628264,0.06672255955767908,594.1411133882425
Utah State,AA,0.013190885514757594,0.02457754364316784,500.82600100907547
Washington,AA,0.08478798956433321,0.08727396446006819,544.0202205267173
West Virginia,AA,0.10289918705240622,0.09398880560256906,543.5703827548153
Western Michigan,AA,0.14809276885750042,0.114655308808059,356.07039250381524
Yale,AA,0.29600977126360134,0.16043310367336094,91.50714285714285
