GymnastID,Event,Home_Percent_1,Home_Percent_2,Home_Percent_3,Score_1,Score_2,Score_3,homeaway_factor
31908,BB,,0.0,0.5,,9.05,9.723494616835806,0.0030107663283892
31908,FX,,,0.5,,,9.754164170297747,0.0416716594045026
31908,VT,,,0.5,,,9.68432052305655,0.0063589538868983
31910,FX,,0.0,0.0,,9.55,9.525,0.0416716594045026
31911,VT,,0.0,0.5,,9.625,9.57182052305655,0.0063589538868983
31914,VT,,0.0,1.0,,9.675,9.6936410461131,0.0063589538868983
31915,BB,,,1.0,,,9.07198923367161,0.0030107663283892
31915,FX,,0.0,1.0,,9.7,9.433328340595496,0.0416716594045026
31918,FX,0.0,1.0,1.0,9.65,9.658328340595496,9.758328340595497,0.0416716594045026
31918,VT,0.0,1.0,1.0,9.725,9.768641046113101,9.793641046113102,0.0063589538868983
31919,VT,0.0,1.0,1.0,9.65,9.743641046113101,9.768641046113101,0.0063589538868983
31920,FX,0.0,1.0,1.0,9.8,9.733328340595497,9.808328340595496,0.0416716594045026
31922,UB,0.0,1.0,1.0,9.8,9.748339694656488,9.773339694656489,0.0266603053435114
31926,BB,,,0.0,,,9.375,0.0030107663283892
31926,FX,,0.0,0.0,,9.225,8.55,0.0416716594045026
31931,VT,,1.0,1.0,,9.7186410461131,9.7186410461131,0.0063589538868983
31932,BB,,1.0,1.0,,9.72198923367161,9.646989233671611,0.0030107663283892
31932,FX,,1.0,1.0,,9.833328340595497,9.808328340595496,0.0416716594045026
31932,VT,,1.0,1.0,,9.6936410461131,9.6936410461131,0.0063589538868983
31934,FX,,1.0,1.0,,9.708328340595497,9.708328340595497,0.0416716594045026
31934,UB,,1.0,1.0,,9.748339694656488,9.773339694656489,0.0266603053435114
31935,BB,,1.0,1.0,,9.796989233671612,9.84698923367161,0.0030107663283892
31935,UB,,,1.0,,,9.623339694656488,0.0266603053435114
31942,FX,,,0.0,,,9.65,0.0416716594045026
31942,VT,,0.0,0.0,,9.675,9.6,0.0063589538868983
31943,UB,,0.0,0.0,,9.325,9.675,0.0266603053435114
31947,UB,,0.0,0.0,,9.9,9.85,0.0266603053435114
31949,UB,,0.0,0.0,,9.85,9.8,0.0266603053435114
31949,VT,,0.0,,,9.575,,0.0063589538868983
31954,UB,,0.0,0.0,,9.925,9.85,0.0266603053435114
31954,VT,,0.0,0.0,,9.15,9.85,0.0063589538868983
31955,AA,,0.0,0.0,,38.7,38.775,0.0777016849633016
31955,BB,,0.0,0.0,,9.875,9.8,0.0030107663283892
31955,FX,,0.0,0.0,,9.85,9.925,0.0416716594045026
31955,UB,,0.0,0.0,,9.125,9.225,0.0266603053435114
31955,VT,,0.0,0.0,,9.85,9.825,0.0063589538868983
31956,UB,,,0.0,,,9.325,0.0266603053435114
31956,VT,,,0.0,,,9.825,0.0063589538868983
31957,FX,,0.0,0.0,,9.825,9.8,0.0416716594045026
31959,BB,0.0,1.0,1.0,9.775,9.896989233671611,9.871989233671611,0.0030107663283892
31959,VT,0.0,1.0,1.0,9.85,9.743641046113101,9.793641046113102,0.0063589538868983
31960,BB,0.0,1.0,1.0,9.65,9.84698923367161,9.921989233671612,0.0030107663283892
31961,VT,0.0,,,9.625,,,0.0063589538868983
31964,BB,1.0,0.0,1.0,9.94698923367161,9.95,9.871989233671611,0.0030107663283892
31964,UB,1.0,0.0,1.0,9.873339694656488,9.775,9.473339694656488,0.0266603053435114
31967,BB,,0.0,0.5,,9.4,9.573494616835804,0.0030107663283892
31967,FX,,0.0,0.5,,9.65,9.691664170297747,0.0416716594045026
31970,BB,,1.0,0.0,,9.796989233671612,9.825,0.0030107663283892
31970,FX,,1.0,0.0,,9.783328340595496,9.85,0.0416716594045026
31974,BB,,0.0,1.0,,9.025,9.746989233671611,0.0030107663283892
31974,FX,,0.0,1.0,,9.725,9.708328340595497,0.0416716594045026
31975,UB,,0.0,1.0,,9.75,9.748339694656488,0.0266603053435114
31975,VT,,0.0,1.0,,9.7,9.6936410461131,0.0063589538868983
31977,AA,,0.0,1.0,,38.875,38.9472983150367,0.0777016849633016
31977,BB,,0.0,1.0,,9.675,9.646989233671611,0.0030107663283892
31977,FX,,0.0,1.0,,9.825,9.808328340595496,0.0416716594045026
31977,UB,,0.0,1.0,,9.8,9.773339694656489,0.0266603053435114
31977,VT,,0.0,1.0,,9.575,9.7186410461131,0.0063589538868983
31979,AA,,0.0,1.0,,39.475,39.2972983150367,0.0777016849633016
31979,BB,,0.0,1.0,,9.875,9.896989233671611,0.0030107663283892
31979,FX,,0.0,1.0,,9.85,9.808328340595496,0.0416716594045026
31979,UB,,0.0,1.0,,9.875,9.798339694656487,0.0266603053435114
31979,VT,,0.0,1.0,,9.875,9.793641046113102,0.0063589538868983
31980,FX,,0.0,1.0,,9.85,9.833328340595497,0.0416716594045026
31980,UB,,0.0,1.0,,9.775,9.723339694656488,0.0266603053435114
31980,VT,,0.0,1.0,,9.925,9.868641046113101,0.0063589538868983
31981,UB,,0.0,1.0,,9.8,9.023339694656489,0.0266603053435114
31981,VT,,0.0,1.0,,9.85,9.793641046113102,0.0063589538868983
31983,BB,,,1.0,,,9.57198923367161,0.0030107663283892
31983,FX,,,1.0,,,8.958328340595497,0.0416716594045026
31987,UB,,0.0,1.0,,9.875,9.748339694656488,0.0266603053435114
31989,BB,,0.0,0.0,,9.95,9.95,0.0030107663283892
31989,UB,,0.0,0.0,,9.825,9.825,0.0266603053435114
31989,VT,,0.0,0.0,,9.925,9.9,0.0063589538868983
31991,BB,,1.0,,,9.72198923367161,,0.0030107663283892
31992,UB,,,0.0,,,9.925,0.0266603053435114
31992,VT,,1.0,0.0,,9.768641046113101,9.775,0.0063589538868983
31995,FX,,0.0,0.0,,9.7,9.75,0.0416716594045026
31995,VT,,0.0,0.0,,9.75,9.75,0.0063589538868983
31996,UB,,0.0,0.0,,9.7,9.6,0.0266603053435114
31997,FX,,0.0,0.0,,9.725,9.525,0.0416716594045026
31998,AA,,0.0,,,37.525,,0.0777016849633016
31998,BB,,0.0,0.0,,9.75,9.5,0.0030107663283892
31998,FX,,0.0,0.0,,9.65,9.65,0.0416716594045026
31998,UB,,0.0,,,8.35,,0.0266603053435114
31998,VT,,0.0,0.0,,9.775,9.625,0.0063589538868983
32004,UB,,0.0,0.0,,9.825,9.875,0.0266603053435114
32007,AA,1.0,0.0,1.0,39.2472983150367,39.3,38.9472983150367,0.0777016849633016
32007,BB,1.0,0.0,1.0,9.796989233671612,9.825,9.59698923367161,0.0030107663283892
32007,FX,1.0,0.0,1.0,9.858328340595497,9.875,9.808328340595496,0.0416716594045026
32007,UB,1.0,0.0,1.0,9.798339694656487,9.75,9.798339694656487,0.0266603053435114
32007,VT,1.0,0.0,1.0,9.793641046113102,9.85,9.743641046113101,0.0063589538868983
32010,VT,,,1.0,,,9.668641046113102,0.0063589538868983
32012,BB,1.0,0.0,1.0,9.671989233671612,9.15,9.796989233671612,0.0030107663283892
32012,VT,1.0,0.0,1.0,9.618641046113101,9.7,9.793641046113102,0.0063589538868983
32014,AA,,1.0,0.0,,38.5722983150367,38.2,0.0777016849633016
32014,BB,,1.0,0.0,,9.84698923367161,9.125,0.0030107663283892
32014,FX,,1.0,0.0,,9.483328340595497,9.8,0.0416716594045026
32014,UB,,1.0,0.0,,9.523339694656489,9.575,0.0266603053435114
32014,VT,,1.0,0.0,,9.7186410461131,9.7,0.0063589538868983
32016,BB,,1.0,0.0,,9.171989233671612,9.075,0.0030107663283892
32016,FX,,1.0,0.0,,9.608328340595497,9.775,0.0416716594045026
32016,VT,,1.0,0.0,,9.668641046113102,9.75,0.0063589538868983
32017,BB,,1.0,0.0,,9.771989233671611,9.65,0.0030107663283892
32017,FX,,1.0,0.0,,9.783328340595496,9.825,0.0416716594045026
32017,UB,,1.0,0.0,,9.623339694656488,9.8,0.0266603053435114
32020,VT,,0.0,0.0,,9.925,9.825,0.0063589538868983
32043,UB,,0.5,,,9.474169847328245,,0.0266603053435114
32048,VT,,0.5,0.0,,9.84682052305655,9.7,0.0063589538868983
32052,BB,,0.0,0.0,,9.8,9.525,0.0030107663283892
32052,FX,,0.0,,,9.675,,0.0416716594045026
32053,FX,,,0.0,,,9.85,0.0416716594045026
32053,VT,,0.0,0.0,,9.9,8.675,0.0063589538868983
32054,AA,,,0.0,,,39.6,0.0777016849633016
32054,BB,,,0.0,,,9.925,0.0030107663283892
32054,FX,,0.0,0.0,,9.825,9.975,0.0416716594045026
32054,UB,,0.0,0.0,,9.8,9.9,0.0266603053435114
32054,VT,,0.0,0.0,,9.775,9.8,0.0063589538868983
32056,UB,,0.0,0.0,,9.725,9.85,0.0266603053435114
32058,FX,,1.0,1.0,,9.808328340595496,9.833328340595497,0.0416716594045026
32058,UB,,1.0,1.0,,9.748339694656488,9.048339694656487,0.0266603053435114
32058,VT,,1.0,1.0,,9.8436410461131,9.893641046113101,0.0063589538868983
32059,BB,,0.0,,,8.825,,0.0030107663283892
32059,UB,0.0,0.0,1.0,9.775,9.425,9.673339694656487,0.0266603053435114
32061,FX,,0.0,,,9.275,,0.0416716594045026
32061,VT,1.0,0.0,,9.8186410461131,9.9125,,0.0063589538868983
32062,UB,,,0.0,,,9.6,0.0266603053435114
32066,UB,,1.0,1.0,,9.873339694656488,9.748339694656488,0.0266603053435114
32067,AA,0.0,1.0,,38.7,38.847298315036696,,0.0777016849633016
32067,BB,0.0,1.0,,9.7,9.47198923367161,,0.0030107663283892
32067,FX,0.0,1.0,,9.8,9.858328340595497,,0.0416716594045026
32067,UB,0.0,1.0,,9.6,9.773339694656489,,0.0266603053435114
32067,VT,0.0,1.0,,9.6,9.743641046113101,,0.0063589538868983
32068,BB,0.0,1.0,,9.0,8.34698923367161,,0.0030107663283892
32068,FX,0.0,1.0,,9.775,9.733328340595497,,0.0416716594045026
32069,UB,0.0,1.0,,9.7,9.673339694656487,,0.0266603053435114
32070,FX,0.0,1.0,,9.0,9.783328340595496,,0.0416716594045026
32070,VT,0.0,1.0,,9.725,9.793641046113102,,0.0063589538868983
32071,AA,0.0,1.0,,39.2,38.972298315036696,,0.0777016849633016
32071,BB,0.0,1.0,,9.775,9.546989233671612,,0.0030107663283892
32071,FX,0.0,1.0,,9.8,9.833328340595497,,0.0416716594045026
32071,UB,0.0,1.0,,9.85,9.848339694656488,,0.0266603053435114
32071,VT,0.0,1.0,,9.775,9.743641046113101,,0.0063589538868983
32072,BB,0.0,1.0,,9.7,9.84698923367161,,0.0030107663283892
32073,BB,0.0,0.0,1.0,9.925,9.925,9.97198923367161,0.0030107663283892
32073,FX,,0.0,1.0,,9.8,9.833328340595497,0.0416716594045026
32074,VT,0.0,0.0,1.0,9.8,9.775,9.743641046113101,0.0063589538868983
32075,BB,,1.0,1.0,,9.97198923367161,9.94698923367161,0.0030107663283892
32075,UB,,1.0,1.0,,9.923339694656487,9.873339694656488,0.0266603053435114
32075,VT,,1.0,1.0,,9.893641046113101,9.918641046113102,0.0063589538868983
32082,FX,,0.0,,,9.825,,0.0416716594045026
32083,AA,,0.0,,,39.475,,0.0777016849633016
32083,BB,,0.0,,,9.85,,0.0030107663283892
32083,FX,1.0,0.0,,9.658328340595496,9.875,,0.0416716594045026
32083,UB,1.0,0.0,,9.873339694656488,9.8125,,0.0266603053435114
32083,VT,1.0,0.0,,9.868641046113101,9.8875,,0.0063589538868983
32084,FX,,0.0,0.0,,9.875,9.8,0.0416716594045026
32085,FX,1.0,0.0,0.0,9.783328340595496,9.825,9.825,0.0416716594045026
32085,UB,1.0,0.0,0.0,9.698339694656488,9.65,9.7,0.0266603053435114
32085,VT,1.0,0.0,0.0,9.618641046113101,9.4,9.725,0.0063589538868983
32086,FX,,,0.0,,,9.05,0.0416716594045026
32087,BB,1.0,0.0,0.0,9.82198923367161,9.2,9.55,0.0030107663283892
32087,UB,1.0,0.0,0.0,9.698339694656488,9.675,9.825,0.0266603053435114
32089,BB,1.0,0.0,0.0,9.871989233671611,9.775,9.8,0.0030107663283892
32089,UB,1.0,0.0,0.0,9.123339694656488,9.725,9.7,0.0266603053435114
32089,VT,1.0,0.0,0.0,9.7186410461131,9.75,9.525,0.0063589538868983
32092,BB,,0.0,0.0,,9.625,9.15,0.0030107663283892
32092,FX,,0.0,0.0,,9.625,9.65,0.0416716594045026
32092,VT,,0.0,0.0,,9.85,9.725,0.0063589538868983
32096,BB,,1.0,,,9.146989233671611,,0.0030107663283892
