Player Name,Year,Team,Event,Price
"Martin, Abigayle",Junior,Arizona,AA,4000.0
Mary McDonough,Junior,Washington,AA,4000.0
McKenzie Matters,Freshman,Alabama,AA,4000.0
"Mead, Delaney",Freshman,Arizona,AA,4000.0
Megan Bingham,Senior,Maryland,AA,4000.0
Mia Leverton,Freshman,Auburn,AA,4000.0
Natalia Pawlak,Senior,Alabama,AA,4000.0
Natasha Lopez,Freshman,Bowling Green,AA,4000.0
Nene Alvine,Junior,Kent State,AA,4000.0
Nina Laurito,Sophomore,Arizona State,AA,4000.0
Niya Randolph,Junior,Southern Utah,AA,4000.0
Noella Marshall,Freshman,Alabama,AA,4000.0
Nola Matthews,Freshman,UCLA,AA,4000.0
Olivia Childs,Sophomore,Arizona,AA,4000.0
Olivia Greaves,Junior,Auburn,AA,4000.0
Ondine Achampong,Sophomore,California,AA,4000.0
Paige Zancan,Junior,Auburn,AA,4000.0
Paityn Walker,Sophomore,Alabama,AA,4000.0
Priscilla Park,Junior,Arkansas,AA,4000.0
"Puleo, Hillary",Freshman,Arizona,AA,4000.0
Rachel Rybicki,Senior,Alabama,AA,4000.0
Rebekah Smith,Freshman,Auburn,AA,4000.0
Reese Drotar,Senior,Arkansas,AA,4000.0
Reese Grolla,Junior,Arizona State,AA,4000.0
Riley Jandorf,Freshman,Arkansas,AA,4000.0
Robyn Wilson,Freshman,Arizona State,AA,4000.0
"Rock, Amelia",Sophomore,Arizona,AA,4000.0
Ryan Fuller,Sophomore,Alabama,AA,4000.0
Safia El Mammann,Freshman,Arizona State,AA,4000.0
Sarah Lutrel,Senior,Sacramento State,AA,4000.0
Scarlett Sonnenberg,Freshman,BYU,AA,4000.0
Serena Mullin,Senior,New Hampshire,AA,4000.0
Shyla Bhatia,Senior,Denver,AA,4000.0
"Silvers, Jillian",Sophomore,Arizona,AA,4000.0
Skyelar Kerico,Senior,Pennsylvania,AA,4000.0
"Smith, Sadie",Sophomore,Arizona,AA,4000.0
Sophie Derr,Junior,Arizona,AA,4000.0
Sophie Patterson,Freshman,San Jose State,AA,4000.0
"Stephens, Sophia",Senior,Arizona,AA,4000.0
"Strom, Emma",Senior,Arizona,AA,4000.0
Sydney Seabrooks,Freshman,North Carolina,AA,4000.0
Tegan Shaver,Freshman,Nebraska,AA,4000.0
Tiara Platkin,Sophomore,Arizona State,AA,4000.0
"Tisdale, Lily",Freshman,Arizona,AA,4000.0
"White, Teagan",Sophomore,Arizona,AA,4000.0
Whitney Jencks,Junior,Nebraska,AA,4000.0
"Wise, Tirzah",Junior,Arizona,AA,4000.0
Avery Byun,Junior,Cornell,AA,3000.0
Ciniah Rosby,Junior,Fisk,AA,3000.0
Kiera O'Shea,Junior,Northern Illinois,AA,3000.0
Kyrie Lowe,Senior,Eastern Michigan,AA,3000.0
Abbey Harris,Sophomore,Illinois State,AA,1500.0
Abbey Scanlon,Senior,California,AA,1500.0
Abbi Ryssman,Freshman,Utah,AA,1500.0
Abby Bednar,Sophomore,Michigan State,AA,1500.0
Abby Brushwood,Junior,Eastern Michigan,AA,1500.0
Abby Izaks,Sophomore,Central Michigan,AA,1500.0
Abby Scherban,Freshman,New Hampshire,AA,1500.0
Abby Steeley,Junior,Denver,AA,1500.0
Aberdeen O'Driscoll,Sophomore,Georgia,AA,1500.0
Abril Toscanini,Freshman,Rutgers,AA,1500.0
Adasyn Tackett,Freshman,NC State,AA,1500.0
Addi Doan,Freshman,Texas Woman's,AA,1500.0
Addi Watson,Freshman,Ohio State,AA,1500.0
Addie Hewitt,Senior,Denver,AA,1500.0
Addie Tandeski,Freshman,Bowling Green,AA,1500.0
Addilyn Glazier,Sophomore,BYU,AA,1500.0
Addison Lawrence,Senior,Missouri,AA,1500.0
Addisyn Hofseth,Freshman,Kentucky,AA,1500.0
Addy Rothstein,Junior,Cornell,AA,1500.0
Addy Whiteside,Sophomore,Brown,AA,1500.0
Adia Friesen,Junior,UC Davis,AA,1500.0
Adriana Consoli,Freshman,Auburn,AA,1500.0
Adriana Hoffman,Junior,Towson,AA,1500.0
Ady Wahl,Junior,Georgia,AA,1500.0
Adysen Mazzoni,Freshman,Eastern Michigan,AA,1500.0
Ahnna Kalmes,Freshman,Nebraska,AA,1500.0
Aislyn LaBadie,Senior,Ball State,AA,1500.0
Aiyana Thomas,Sophomore,Fisk,AA,1500.0
Alaina Reid,Sophomore,Texas Woman's,AA,1500.0
Alana Anderson,Senior,Northern Illinois,AA,1500.0
Alana Kim,Junior,UC Davis,AA,1500.0
Alana Walker,Sophomore,Stanford,AA,1500.0
Alauna Simms,Senior,Ball State,AA,1500.0
Ale Alvarez,Freshman,Iowa State,AA,1500.0
Alea Byrne,Senior,Illinois,AA,1500.0
Alessia Russo,Junior,Greenville,AA,1500.0
